indexCode,indexName,indexNameEn,查看地址
000001,上证指数,SSE Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000001
000002,Ａ股指数,A Share Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000002
000003,Ｂ股指数,B Share Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000003
000004,工业指数,Industrial Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000004
000005,商业指数,Commercial Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000005
000006,地产指数,Real Estate Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000006
000007,公用指数,Utilities Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000007
000008,综合指数,Conglomerates Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000008
000009,上证380,SSE 380,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000009
000010,上证180,SSE 180,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000010
000011,基金指数,Fund Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000011
000012,国债指数,Government Bond Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000012
000013,企债指数,Corporate Bond Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000013
000015,红利指数,SSE Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000015
000016,上证50,SSE 50,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000016
000017,新综指,New SSE Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000017
000018,180金融,180 Financial,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000018
000019,治理指数,Governance Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000019
000020,中型综指,SSE Medium Composite,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000020
000021,180治理,180 Governance,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000021
000022,沪公司债,SSE Enterprise Bond,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000022
000025,180基建,180 Infrastructure,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000025
000026,180资源,180 Natural Resource,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000026
000027,180运输,180 Transportation,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000027
000028,180成长,180 Growth,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000028
000029,180价值,180 Value,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000029
000030,180R成长,180R Growth,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000030
000031,180R价值,180R Value,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000031
000032,上证能源,SSE Energy,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000032
000033,上证材料,SSE Materials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000033
000034,上证工业,SSE Industrials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000034
000035,上证可选,SSE Cons Disc,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000035
000036,上证消费,SSE Cons Staples,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000036
000037,上证医药,SSE Health Care,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000037
000038,上证金融,SSE Financials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000038
000039,上证信息,SSE Info technology,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000039
000040,上证通信,SSE Communication Services,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000040
000041,上证公用,SSE Utilities,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000041
000042,上证央企,SSE Central SOEs 50,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000042
000043,超大盘,SSE Mega-cap,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000043
