code,名称,类型,日期,净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,f1,f2,f3,f4,f5,f6,f7,可购买,f9,起购金额,费率,e1,e2,e3
020824,汇泉安阳纯债C,债券型,2025/11/20,1.6175,0,0.01,0.29,0.29,43.88,49.35,,,47.98,101.2,0,0,1,0,0,,041,0,4,---,,0.00%,,,
021928,湘财鑫裕纯债A,债券型,2025/11/20,1.4532,0,0.01,0.06,0.13,0.01,44.93,,,44.69,45.54,3,1,1,0.06,0,,041,1,1,10元,0.60%,0.06%,0.06%,1,
021929,湘财鑫裕纯债C,债券型,2025/11/20,1.3867,0.01,0.01,0.04,0.08,-0.09,44.61,,,44.41,44.45,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
006030,南方昌元可转债债券A,债券型,2025/11/20,1.8534,-0.44,-2.03,3.7,2.84,28.91,39.22,33.92,30.89,38.64,88.08,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
006031,南方昌元可转债债券C,债券型,2025/11/20,1.8171,-0.44,-2.04,3.66,2.71,28.59,38.52,32.58,28.94,38.03,81.71,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
690002,民生增强收益债券A,债券型,2025/11/20,1.9708,0.08,-0.82,7.6,6.41,26.98,34.99,37.63,31.91,32,221.25,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
690202,民生增强收益债券C,债券型,2025/11/20,1.9052,0.07,-0.83,7.56,6.31,26.68,34.45,36.57,30.31,31.48,202.68,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
022094,恒生前海恒源昭利债券A,债券型,2025/11/20,1.1888,0,-0.08,-0.07,-0.05,-0.08,32.02,,,29.16,29.67,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
014502,泰信汇盈债券A,债券型,2025/11/20,1.2538,0,0.01,0.1,0.28,28.41,30.64,34.06,38.99,28.44,40.1,3,1,1,0.04,0,,041,0,1,10元,0.40%,0.04%,0.04%,1,
006147,宝盈融源可转债债券A,债券型,2025/11/20,1.4595,-0.04,-2.01,3.4,6.07,16.83,30.22,29.63,21.08,25.69,45.95,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
003382,民生加银鑫享债券A,债券型,2025/11/20,1.2305,0.17,-0.17,8.49,5.59,17.4,30.14,35.55,38.09,26.39,24.03,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
006148,宝盈融源可转债债券C,债券型,2025/11/20,1.4324,-0.04,-2.02,3.37,5.98,16.64,29.83,28.85,19.99,25.35,43.24,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
003092,华商丰利增强定开债A,债券型,2025/11/20,2.134,-0.56,-2.65,5.12,3.14,13.27,29.81,40.39,34.34,29.25,163.33,0,1,1,0.08,0,,043_071,0,6,10元,0.80%,0.08%,0.08%,1,
050019,博时转债增强债券A,债券型,2025/11/20,2.1958,-0.42,-2.58,2.52,0.78,16.07,29.71,28.94,16.67,27.53,120.26,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
007316,交银可转债债券A,债券型,2025/11/20,1.7662,-0.39,-2.14,3.31,4.16,20.82,29.7,34.64,31.82,28.57,76.62,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
001045,华夏可转债增强债券A,债券型,2025/11/20,1.7085,-0.61,-2.41,2.83,7.21,27.01,29.67,30.61,25.9,29.59,70.85,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
003383,民生加银鑫享债券C,债券型,2025/11/20,1.1946,0.18,-0.18,8.46,5.49,17.18,29.64,34.5,36.45,25.95,20.41,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
007955,民生加银鑫享债券D,债券型,2025/11/20,1.0438,0.17,-0.18,8.45,5.48,17.18,29.63,34.48,36.43,25.94,4.4,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
003093,华商丰利增强定开债C,债券型,2025/11/20,2.056,-0.53,-2.65,5.11,3.06,13.03,29.31,39.39,32.74,28.82,153.86,0,0,1,0,0,,043_071,0,6,10元,,0.00%,,,
240012,华宝增强收益债券A,债券型,2025/11/20,1.6659,-0.14,-1.93,1.63,-0.32,18.48,29.29,29.48,24.02,24.51,124.16,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
050119,博时转债增强债券C,债券型,2025/11/20,2.0978,-0.42,-2.59,2.48,0.69,15.84,29.19,27.91,15.33,27.09,110.3,3,0,1,0,0,,043_045,1,1,10元,0.00%,0.00%,0.00%,0,
007317,交银可转债债券C,债券型,2025/11/20,1.7219,-0.39,-2.14,3.28,4.05,20.58,29.18,33.56,30.25,28.12,72.19,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
